elocator,title,status,doi_status,issn_status,manuscript,pdf
e036,"Accounting Data Science, Digital Record-Keeping and Financial-Risk Management among MSMEs in Nigeria: A Critical Review of Evidence, Infrastructure and Policy",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e036/manuscript/CHIATECH_JOURNAL_2026_V1I1_e036_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e036_PIONEER_PART2.pdf
e037,"The Educational Trinity: Home, Child, and School Environment for Secure Learning in Nigeria",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e037/manuscript/CHIATECH_JOURNAL_2026_V1I1_e037_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e037_PIONEER_PART2.pdf
e038,Assessment of Tertiary Institution Students' Perceptions and Experiences of Security in Nigerian Higher Education,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e038/manuscript/CHIATECH_JOURNAL_2026_V1I1_e038_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e038_PIONEER_PART2.pdf
e039,"Textile Upcycling, Family Empowerment and Circular Livelihoods in Jos North, Nigeria: Empirical Evidence from 100 Upcycling Households",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e039/manuscript/CHIATECH_JOURNAL_2026_V1I1_e039_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e039_PIONEER_PART2.pdf
e040,"Digital Transformation in Clothing Technology: Awareness, Practical Adoption and Barriers to Computer-Aided Design among Tailors in Jos Metropolis, Nigeria",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e040/manuscript/CHIATECH_JOURNAL_2026_V1I1_e040_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e040_PIONEER_PART2.pdf
e041,Security Challenges and Principals' Management Strategies in North-Central Nigerian Secondary Schools,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e041/manuscript/CHIATECH_JOURNAL_2026_V1I1_e041_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e041_PIONEER_PART2.pdf
e042,Artificial Intelligence and Smart Border Surveillance for Intellectual Property Rights Enforcement at Nigeria’s Land Borders: A Critical Evidence Review and Responsible Implementation Framework,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e042/manuscript/CHIATECH_JOURNAL_2026_V1I1_e042_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e042_PIONEER_PART2.pdf
e043,"From Risk Profiles to Counterfeit Interception: AI-Enabled Customs Risk Targeting, Geospatial Intelligence and Non-Intrusive Inspection at Nigeria’s Land Borders",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e043/manuscript/CHIATECH_JOURNAL_2026_V1I1_e043_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e043_PIONEER_PART2.pdf
e044,"Resilient Hybrid Power Architecture for 24/7 Nigeria Customs Land-Border Operations: Grid, Solar PV, Battery Storage and Generator Coordination",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e044/manuscript/CHIATECH_JOURNAL_2026_V1I1_e044_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e044_PIONEER_PART2.pdf
e045,"Mathematical Modelling of Residential Electricity Demand for Peak-Load Reduction in Nigeria: A Demand-Response Optimisation Framework Calibrated to Dota Community, Gwagwalada",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e045/manuscript/CHIATECH_JOURNAL_2026_V1I1_e045_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e045_PIONEER_PART2.pdf
e046,"Design, Small-Signal Modeling and Prototype Implementation of a 24 V-to-19 V PWM Buck Converter with Type-III Voltage-Mode Compensation",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e046/manuscript/CHIATECH_JOURNAL_2026_V1I1_e046_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e046_PIONEER_PART2.pdf
e047,TECHNOLOGY  ·  CONCEPTUAL PRACTICE REVIEW AND DESIGN FRAMEWORK,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e047/manuscript/CHIATECH_JOURNAL_2026_V1I1_e047_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e047_PIONEER_PART2.pdf
e048,"Loss-Aware Reliability Analysis and Contemporary Re-Engineering of a 24 V-to-19 V, 66.5 W PWM Buck Converter: Component Stress, Efficiency Bounds and Validation Protocol",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e048/manuscript/CHIATECH_JOURNAL_2026_V1I1_e048_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e048_PIONEER_PART2.pdf
e049,"Control-Oriented Mathematical Review of a 24 V-to-19 V PWM Buck Converter: State-Space Averaging, CCM Boundary, Type-III Loop Compensation and Design Consistency",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e049/manuscript/CHIATECH_JOURNAL_2026_V1I1_e049_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e049_PIONEER_PART2.pdf
e050,Coupled Mathematical Modelling of Building Envelope and Cooling-Efficiency Standards for Nigerian Multi-Unit Housing: An Abuja-Calibrated BEEC–SONMELS Predictive Scenario Framework,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e050/manuscript/CHIATECH_JOURNAL_2026_V1I1_e050_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e050_PIONEER_PART2.pdf
e051,"Antimicrobial Resistance Profiles of Clinical and Environmental Staphylococcus aureus Across Six Secondary Health-Care Centres in Taraba State, Nigeria: Laboratory Evidence and Contemporary AMR Implications",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e051/manuscript/CHIATECH_JOURNAL_2026_V1I1_e051_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e051_PIONEER_PART2.pdf
e052,"From AC Socket to Silicon: End-to-End Circuit Analysis of 65 W Modern Laptop Power Systems — A Comparative Study of HP, Dell and Lenovo Architectures",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e052/manuscript/CHIATECH_JOURNAL_2026_V1I1_e052_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e052_PIONEER_PART2.pdf
e053,"Molecular Virulence and Clonal Architecture of Clinical and Environmental Staphylococcus aureus in Taraba State, Nigeria: PVL, mecA, SCCmec and spa-Typing Evidence",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e053/manuscript/CHIATECH_JOURNAL_2026_V1I1_e053_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e053_PIONEER_PART2.pdf
e054,"Renal Biochemical Signatures of Pregnancy-Induced Hypertension in Tertiary Antenatal Care in Enugu State, Nigeria: Electrolyte, Urea–Creatinine and Plasma-Protein Profiles",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e054/manuscript/CHIATECH_JOURNAL_2026_V1I1_e054_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e054_PIONEER_PART2.pdf
e055,"From Antibiograms to Whole-Genome Surveillance: A Critical Review of Methicillin-Resistant Staphylococcus aureus in Nigeria Across Clinical, Environmental and One Health Interfaces",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e055/manuscript/CHIATECH_JOURNAL_2026_V1I1_e055_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e055_PIONEER_PART2.pdf
e056,"Renewable Energy and Sustainable Power Systems for Rural Farming Communities in Nigeria: Productive-Use Electrification, Agricultural Resilience and an Integrated Engineering Framework",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e056/manuscript/CHIATECH_JOURNAL_2026_V1I1_e056_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e056_PIONEER_PART2.pdf
e057,"Responsible Digital Technology Adoption in Nigerian Secondary STEM Education: A Rights, Religious-Pluralism and Child-Safeguarding Framework",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e057/manuscript/CHIATECH_JOURNAL_2026_V1I1_e057_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e057_PIONEER_PART2.pdf
e058,"Empowering Nigerian MSMEs through Finance, Technology and Capability: The SCALE Framework for Sustainable Industrial Development",ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,PENDING_ASSIGNMENT,papers/2026_V1I1_PIONEER_JULY_AUGUST_PART2/e058/manuscript/CHIATECH_JOURNAL_2026_V1I1_e058_PIONEER_PART2.docx,CHIATECH_JOURNAL_2026_V1I1_e058_PIONEER_PART2.pdf
