elocator,title,author_folder,status,doi_status,final_path,final_sha256
e027,"Explainable Deep Reinforcement Learning in Robotics: A Taxonomy of Explanations, Evaluation Criteria and Safety-Critical Deployment",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e027/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e027_Explainable_Deep_Reinforcement_Learning_in_Robotics_A_Taxonomy_of_Explanations_Evaluation_Criteria_and_Safety.docx,6550DE8DBD5189A5E9FF1606151FCD74C7E073510103C9D0E541E8C0F85D150B
e028,Microlearning for Faculty TPACK Development in Higher Education: An Evidence-Informed Design and Evaluation Framework,CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e028/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e028_Microlearning_for_Faculty_TPACK_Development_in_Higher_Education_An_Evidence_Informed_Design_and_Evaluation.docx,B5D269C9D928A741B05F4AC0A1EAE0393643C0CEC46D58F90A45C8FF9F62E147
e029,"Augmented-Reality-Enhanced Problem-Based Learning in STEM Education: Mechanisms, Evidence and an Implementation Framework for Engagement and Critical Thinking",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e029/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e029_Augmented_Reality_Enhanced_Problem_Based_Learning_in_STEM_Education_Mechanisms_Evidence_and_an_Implementation.docx,C829DB04B4AB5C93DE5EE9661BFCF70EDE5482C962A176B0F60E8393DD299F50
e030,"Teaching Further Mathematics in Nigerian Secondary Schools: An Evidence-Informed Multi-Pedagogy Framework for Problem Solving, Inquiry, Technology and Collaboration",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e030/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e030_Teaching_Further_Mathematics_in_Nigerian_Secondary_Schools_An_Evidence_Informed_Multi_Pedagogy_Framework_for.docx,19DF47DB1373A6257D946649BA8C0B5E17CF97C4BBBD38D8A1521ADBE53030BB
e031,Integrating Defensive and Offensive Cybersecurity Education: A Lab-Based Competency Framework for Workforce-Ready Learning,CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e031/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e031_Integrating_Defensive_and_Offensive_Cybersecurity_Education_A_Lab_Based_Competency_Framework_for_Workforce_Rea.docx,6BD12A7AA5484AD23A7D1C1C04FEBE44FE9FB5F3B4206E9EB288EF02E759CFE9
e047,"Prompting for Human-Centred Output: The HUMAN Framework for Credible, Context-Aware Generative AI Writing",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e047/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e047_Prompting_for_Human_Centred_Output_The_HUMAN_Framework_for_Credible_Context_Aware_Generative_AI.docx,2868328E509BE964A598DB5956F289C9A09D90344C2CA433A0CB6A0E9919DCA3
e056,"Engineering Sustainable Industrial Transition in Nigeria: An Integrated Framework for Reliability, Circularity and Operational Resilience",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e056/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e056_Engineering_Sustainable_Industrial_Transition_in_Nigeria_An_Integrated_Framework_for_Reliability_Circularity_a.docx,DA535615A5B2FE30EE639A83C47E2C9870FD874E25D314A493FD4CEC3D60ECCE
e058,"Empowering Nigerian MSMEs through Finance, Technology and Capability: The SCALE Framework for Sustainable Industrial Development",CHIA_Shiaondo_Kenneth,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth/e058/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e058_Empowering_Nigerian_MSMEs_through_Finance_Technology_and_Capability_The_SCALE_Framework_for_Sustainable_Indust.docx,10DE0C9E74F397971FCD981BD1DCA9C4C6A79A7AA48325C9EE4FD9F7580C13E2
e052,"From AC Socket to Silicon: End-to-End Circuit Analysis of 65 W Modern Laptop Power Systems — A Comparative Study of HP, Dell and Lenovo Architectures",CHIA_Shiaondo_Kenneth__AMENGER_Gbaden,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth__AMENGER_Gbaden/e052/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e052_From_AC_Socket_to_Silicon_End_to_End_Circuit_Analysis_of_65_W_Modern.docx,9923D4ED126AB49514A9B4DC21F07A0A11F073686F680580B7CDC5C8FAF9EB71
e046,"Design, Small-Signal Modeling and Prototype Implementation of a 24 V-to-19 V PWM Buck Converter with Type-III Voltage-Mode Compensation",CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y/e046/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e046_Design_Small_Signal_Modeling_and_Prototype_Implementation_of_a_24_V_to_19_V.docx,9C72B9549239CDE36CB162153DB902B454FCED3723BBE14AD751FB68327BECD1
e048,"Loss-Aware Reliability Analysis and Contemporary Re-Engineering of a 24 V-to-19 V, 66.5 W PWM Buck Converter: Component Stress, Efficiency Bounds and Validation Protocol",CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y/e048/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e048_Loss_Aware_Reliability_Analysis_and_Contemporary_Re_Engineering_of_a_24_V_to_19.docx,D57624F28AF8A7011DEAF954746C185F934E5BCEF7ADB77D51F2D6D0BC09DC43
e049,"Control-Oriented Mathematical Review of a 24 V-to-19 V PWM Buck Converter: State-Space Averaging, CCM Boundary, Type-III Loop Compensation and Design Consistency",CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/CHIA_Shiaondo_Kenneth__AMENGER_Gbaden__GOSHWE_N_Y/e049/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e049_Control_Oriented_Mathematical_Review_of_a_24_V_to_19_V_PWM_Buck_Converter.docx,BB7B326C351BC7FC9DD3CBC2B2C28597ABBFC79FF160F933D905792F90CDC5E2
e054,"Renal Biochemical Signatures of Pregnancy-Induced Hypertension in Tertiary Antenatal Care in Enugu State, Nigeria: Electrolyte, Urea–Creatinine and Plasma-Protein Profiles",EMMANUEL_Cephasking_Ogbotu,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/EMMANUEL_Cephasking_Ogbotu/e054/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e054_Renal_Biochemical_Signatures_of_Pregnancy_Induced_Hypertension_in_Tertiary_Antenatal_Care_in_Enugu_State.docx,F0C16192F637EB2BD681A1064D931BC18E7E78852F62ED89F00B1EF0DB1EFAB7
e051,"Antimicrobial Resistance Profiles of Clinical and Environmental Staphylococcus aureus Across Six Secondary Health-Care Centres in Taraba State, Nigeria: Laboratory Evidence and Contemporary AMR Implications",MELLAH_Iwanger,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/MELLAH_Iwanger/e051/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e051_Antimicrobial_Resistance_Profiles_of_Clinical_and_Environmental_Staphylococcus_aureus_Across_Six_Secondary_Hea.docx,4D8D6DEAB55D447680666EBAA9FC4DF7636752EB80E14A32792939EE6443E55F
e053,"Molecular Virulence and Clonal Architecture of Clinical and Environmental Staphylococcus aureus in Taraba State, Nigeria: PVL, mecA, SCCmec and spa-Typing Evidence",MELLAH_Iwanger,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/MELLAH_Iwanger/e053/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e053_Molecular_Virulence_and_Clonal_Architecture_of_Clinical_and_Environmental_Staphylococcus_aureus_in_Taraba_Stat.docx,E2F903450A15D5E0DBBE2B845A12605CA906523DBEE4965E65063A7BB8F2F192
e055,"From Antibiograms to Whole-Genome Surveillance: A Critical Review of Methicillin-Resistant Staphylococcus aureus in Nigeria Across Clinical, Environmental and One Health Interfaces",MELLAH_Iwanger,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/MELLAH_Iwanger/e055/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e055_From_Antibiograms_to_Whole_Genome_Surveillance_A_Critical_Review_of_Methicillin_Resistant_Staphylococcus_aureu.docx,70F14F539042D9A038C7C45128A61F819B776BBFB29BC7A35D45B88755DBA31F
e037,"The Educational Trinity: Home, Child, and School Environment for Secure Learning in Nigeria",OGBU_Wilfred,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OGBU_Wilfred/e037/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e037_The_Educational_Trinity_Home_Child_and_School_Environment_for_Secure_Learning_in_Nigeria.docx,E213AFD6C2AAD35E9B83C4ADB40EA57EBFB38AE1E6B24126F32B9C5C0191EAD8
e038,Assessment of Tertiary Institution Students' Perceptions and Experiences of Security in Nigerian Higher Education,OGBU_Wilfred,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OGBU_Wilfred/e038/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e038_Assessment_of_Tertiary_Institution_Students_Perceptions_and_Experiences_of_Security_in_Nigerian_Higher_Educati.docx,E72876EAC8C54B904F55D690CD3B343C1494B6904C18DD5104096B255628A476
e041,Security Challenges and Principals' Management Strategies in North-Central Nigerian Secondary Schools,OGBU_Wilfred,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OGBU_Wilfred/e041/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e041_Security_Challenges_and_Principals_Management_Strategies_in_North_Central_Nigerian_Secondary_Schools.docx,C496B632F66836716C3430AF8052DDDC771CF8E6C30877B859AE14EEB4E2246F
e033,"Integrating Business Intelligence and Data Mining for Venture Capital Assessment of Technology Startups: Hybrid Predictive Analytics, Explainable Risk Scoring and Real-Time Signals",OLUMEYAN_Elizabeth_Titilayo,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OLUMEYAN_Elizabeth_Titilayo/e033/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e033_Integrating_Business_Intelligence_and_Data_Mining_for_Venture_Capital_Assessment_of_Technology_Startups_Hybrid.docx,E678EE6B6AE2FD4DC397217FC0A88EA492C8D17B59B4C9F38C07059AB8C42092
e034,"Accounting Practices, Digitalisation and Financial-Risk Analytics among Informal Small Businesses in Gwagwalada, Abuja: An Empirical Accounting Data-Science Study",OLUMEYAN_Elizabeth_Titilayo,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OLUMEYAN_Elizabeth_Titilayo/e034/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e034_Accounting_Practices_Digitalisation_and_Financial_Risk_Analytics_among_Informal_Small_Businesses_in_Gwagwalada.docx,668CD640C1F1CC60333C246B8C5018BB451959CFE2BDB1881EE126FBC1265491
e036,"Accounting Data Science, Digital Record-Keeping and Financial-Risk Management among MSMEs in Nigeria: A Critical Review of Evidence, Infrastructure and Policy",OLUMEYAN_Elizabeth_Titilayo,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/OLUMEYAN_Elizabeth_Titilayo/e036/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e036_Accounting_Data_Science_Digital_Record_Keeping_and_Financial_Risk_Management_among_MSMEs_in_Nigeria.docx,C738723E1512477F721092D2755A0F6A4BFF4A6E92368CC37BE4E1950079B21A
e057,"Responsible Digital Technology Adoption in Nigerian Secondary STEM Education: A Rights, Religious-Pluralism and Child-Safeguarding Framework",UKULE_Peter,ACCEPTED_PRODUCTION_APPROVED_PENDING_DOI_REGISTRATION,PENDING_REGISTRATION,04_AUTHORS/UKULE_Peter/e057/final/CHIATECH_JOURNAL_SETEHEM_2026_V1I2_e057_Responsible_Digital_Technology_Adoption_in_Nigerian_Secondary_STEM_Education_A_Rights_Religious_Pluralism_and.docx,FA7DA3CA4E3B76A9397E49528470C2532CFA3FB431B0D99F1003C34DF8D63D39
